neighbourhood,mean,count
Santa Brbara,175.54545454545453,33
Igreja Nova e Cheleiros,165.0,19
Azueira e Sobral da Abelheira,159.66666666666666,15
Ribamar,149.72727272727272,22
Santa Maria Maior,140.4773457010346,2803
Parque das Naes,140.28735632183907,261
Colares,134.97878787878787,330
Misericrdia,134.92079207920793,2121
Cascais e Estoril,134.88548387096773,1240
Alenquer (Santo Estvo e Triana),134.68,25
Santo Antnio,133.0745131244708,1181
Reguengo Grande,129.55555555555554,18
Turcifal,128.5,10
Vila Verde dos Francos,127.0,17
Ericeira,125.40422322775264,663
"Alhandra, So Joo dos Montes e Calhandriz",120.28571428571429,14
Pvoa de Santa Iria e Forte da Casa,119.38461538461539,13
Estrela,119.03597122302158,834
So Joo das Lampas e Terrugem,118.75172413793103,145
Alcabideche,117.83333333333333,132
So Vicente,116.96535129932627,1039
Encarnao,115.79411764705883,34
Campo de Ourique,115.72099447513813,362
Lourinh e Atalaia,113.77955271565496,313
Santo Isidoro,112.33689839572193,187
Mafra,111.703125,64
"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",111.52897196261682,535
"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",111.51769911504425,226
So Bartolomeu dos Galegos e Moledo,109.82352941176471,17
"Almargem do Bispo, Pro Pinheiro e Montelavar",109.44444444444444,27
Carvoeira,108.94642857142857,112
Belm,108.5546875,256
Campolide,108.27981651376147,218
Silveira,107.6842105263158,95
So Domingos de Benfica,107.06293706293707,143
Avenidas Novas,106.69811320754717,530
"Enxara do Bispo, Gradil e Vila Franca do Rosrio",106.14285714285714,14
Areeiro,105.81276595744681,235
Alcntara,105.78853046594982,279
Carcavelos e Parede,103.98453608247422,388
Marvila,103.81746031746032,126
Ajuda,102.61650485436893,206
Arroios,102.40426793123889,1687
Alvalade,101.87931034482759,232
A dos Cunhados e Maceira,101.48958333333333,96
Santo Quintino,99.5,16
Lumiar,98.12871287128714,101
Penha de Frana,97.38669438669439,481
Barcarena,97.33333333333333,12
Benfica,96.71428571428571,70
So Pedro da Cadeira,95.04166666666667,24
"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",94.36206896551724,116
Olivais,91.8743961352657,207
Carnide,91.45454545454545,33
So Domingos de Rana,90.79411764705883,68
Moscavide e Portela,90.66990291262135,103
Ramada e Caneas,89.625,16
Alverca do Ribatejo e Sobralinho,88.7,10
Ribafria e Pereiro de Palhacana,88.63636363636364,11
"S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces",88.3225806451613,31
Beato,87.7542372881356,118
Queluz e Belas,86.38,50
Carnaxide e Queijas,86.23529411764706,17
Lamas e Cercal,86.15789473684211,19
Pvoa de Santo Adrio e Olival de Basto,84.52380952380952,21
Sacavm e Prior Velho,82.83333333333333,54
Odivelas,78.14814814814815,54
Cacm e So Marcos,78.0,24
Vila Franca de Xira,77.02857142857142,35
Porto Salvo,76.58333333333333,12
Encosta do Sol,76.2258064516129,31
Massam e Monte Abrao,75.65306122448979,49
Santo Antnio dos Cavaleiros e Frielas,73.78260869565217,23
Pontinha e Fames,72.20833333333333,24
Loures,71.4090909090909,22
Santa Clara,70.53846153846153,26
"Santa Iria de Azoia, So Joo da Talha e Bobadela",70.2258064516129,31
Algueiro-Mem Martins,69.78,50
"Camarate, Unhos e Apelao",69.53333333333333,15
Venteira,68.70491803278688,61
Rio de Mouro,67.075,40
guas Livres,66.13461538461539,52
Falagueira-Venda Nova,65.66666666666667,27
Mina de gua,64.69444444444444,36
Agualva e Mira-Sintra,59.5945945945946,37
